,product_name,rating,price,price_fraction
0,"Samsung Galaxy A52 Dual Sim, 128GB, 8GB RAM, 4G LTE - Awesome Black",46,"7,000",00
1,Nokia 106 Dual SIM- Dark Grey,117,410,00
2,"Samsung Galaxy A52 Dual SIM - 6.5 inches, 8 GB RAM, 256 GB - Violet",1,0,0
3,"Samsung Galaxy A32 Dual SIM - 6.4 Inches, 6GB RAM, 128GB, 4G LTE - Violet",41,"5,799",00
4,"Xiaomi 11T Dual SIM ,6.67 inches, 256 GB, 8 GB RAM ,Celestial Blue",67,"9,039",94
5,"Oppo A74 Dual SIM Mobile Phone - 6.43 Inch, 128 GB, 6 GB RAM, 4G LTE - Prism Black",6,"5,999",00
6,"Nokia 150 Dual Sim Mobile Phone - 2.4 Inches, 4 MB, 4 MB RAM, 2G - Cyan",18,0,0
7,"Xiaomi Redmi Note 11,90 Hz Amoled Pioneer, 128 GB, 6GB RAM, Graphite Gray",904,"5,299",00
8,"Samsung Galaxy A52s Dual SIM - 128GB, 8GB RAM, 5G, BLACK",97,0,0
9,"Samsung Galaxy S22 Ultra 5G Mobile Phone 256GB, 12GB RAM, SIM Free Android Smartphone Burgundy with Wireless car charger & Year Screen Warranty",19,"30,000",00
10,"Apple iPhone 13 Pro Max with FaceTime - 256GB, 6GB RAM, 4G LTE, Sierra Blue, Single SIM & E-SIM",16,"27,000",00
11,OPPO Reno 6 5G - 6.4-inch 128GB/8GB Dual SIM 5G Mobile Phone - Aurora,5,"9,333",00
12,"Xiaomi Redmi Note 10, 5G, Graphite Grey, 128GB,6G RAM Dual SIM Grey",17,"5,390",00
13,"Samsung Galaxy A23 4G Android Smartphone, 128GB, 4GB RAM, Dual Sim Mobile Phone, Black",2,"5,399",00
14,"Nokia G20 Dual Sim - 6.5 inch, 128 GB, 4 GB RAM, 4G LTE - Dark Blue",56,"3,699",00
15,"Xiaomi Redmi Note 11 Pro4G Volte 128GB,8GB 6.67"" 108MP Camera Night Mode Star blue",3,"7,449",00
16,"Xiaomi Redmi Note 11,90 Hz Amoled Pioneer, 64 GB, 4GB RAM, Graphite Gray",126,"4,299",00
17,iQ&T N6 Dual SIM Mobile Phone - 16GB - 2GB RAM - 4G,5,"1,099",00
18,"Samsung Galaxy A23 LTE Android Smartphone, 128GB, 6GB RAM, Dual Sim Mobile Phone, Black",3,"5,733",28
19,"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Black",803,"4,325",94
20,Nokia 150 Dual Sim Color Black,52,773,00
21,Reno 6 5G Dual SIM Stellar Black 8GB RAM 128GB,6,"9,333",00
22,HONOR 50 Dual Sim 8GB RAM 256GB ROM 5G VLOG Smart Phone - Frost Crystal,13,"10,399",00
23,"Xiaomi Redmi 10C 4G (Graphite Gray, 4GB RAM, 128 GB Storage)- Dot Drop Display | 50mp with 5mp Rare Camera",6,"4,599",00
